,ID
352,hsa-miR-582-5p
353,hsa-miR-583
354,hsa-miR-584-5p
355,hsa-miR-585-3p
356,hsa-miR-548a-3p
357,hsa-miR-586
358,hsa-miR-587
359,hsa-miR-548b-3p
360,hsa-miR-588
361,hsa-miR-589-3p
362,hsa-miR-550a-3p
363,hsa-miR-590-5p
364,hsa-miR-591
365,hsa-miR-592
366,hsa-miR-593-5p
367,hsa-miR-595
368,hsa-miR-596
369,hsa-miR-597-5p
370,hsa-miR-598-3p
371,hsa-miR-599
372,hsa-miR-600
373,hsa-miR-601
374,hsa-miR-602
375,hsa-miR-603
376,hsa-miR-604
377,hsa-miR-605-5p
378,hsa-miR-606
379,hsa-miR-607
380,hsa-miR-608
381,hsa-miR-609
382,hsa-miR-610
383,hsa-miR-611
384,hsa-miR-612
385,hsa-miR-613
386,hsa-miR-614
387,hsa-miR-615-3p
388,hsa-miR-616-5p
389,hsa-miR-548c-3p
390,hsa-miR-617
391,hsa-miR-618
392,hsa-miR-619-3p
393,hsa-miR-620
394,hsa-miR-621
395,hsa-miR-622
396,hsa-miR-623
397,hsa-miR-624-5p
398,hsa-miR-625-5p
399,hsa-miR-626
400,hsa-miR-627-5p
401,hsa-miR-628-3p
402,hsa-miR-629-3p
403,hsa-miR-630
404,hsa-miR-631
405,hsa-miR-33b-5p
406,hsa-miR-632
407,hsa-miR-633
408,hsa-miR-634
409,hsa-miR-635
410,hsa-miR-636
411,hsa-miR-637
412,hsa-miR-638
413,hsa-miR-639
414,hsa-miR-640
415,hsa-miR-641
416,hsa-miR-642a-5p
417,hsa-miR-643
418,hsa-miR-644a
419,hsa-miR-645
420,hsa-miR-646
421,hsa-miR-647
422,hsa-miR-648
423,hsa-miR-649
424,hsa-miR-650
425,hsa-miR-651-5p
426,hsa-miR-652-3p
427,hsa-miR-548d-3p
428,hsa-miR-661
429,hsa-miR-662
430,hsa-miR-663a
431,hsa-miR-449b-5p
432,hsa-miR-653-5p
433,hsa-miR-411-5p
434,hsa-miR-654-5p
435,hsa-miR-655-3p
436,hsa-miR-656-3p
437,hsa-miR-549a
438,hsa-miR-657
439,hsa-miR-658
440,hsa-miR-659-3p
441,hsa-miR-660-5p
442,hsa-miR-421
443,hsa-miR-542-5p
444,hsa-miR-363-5p
445,hsa-miR-376a-5p
446,hsa-miR-542-3p
447,hsa-miR-425-5p
448,hsa-miR-758-3p
449,hsa-miR-671-5p
450,hsa-miR-668-3p
451,hsa-miR-767-5p
452,hsa-miR-767-3p
453,hsa-miR-454-5p
454,hsa-miR-454-3p
455,hsa-miR-769-5p
456,hsa-miR-769-3p
457,hsa-miR-766-3p
458,hsa-miR-765
459,hsa-miR-770-5p
460,hsa-miR-802
461,hsa-miR-675-5p
462,hsa-miR-297
463,hsa-let-7a-3p
464,hsa-let-7b-3p
465,hsa-let-7d-3p
466,hsa-let-7e-3p
467,hsa-let-7f-1-3p
468,hsa-let-7f-2-3p
469,hsa-miR-15a-3p
470,hsa-miR-16-1-3p
471,hsa-miR-19a-5p
472,hsa-miR-19b-1-5p
473,hsa-miR-19b-2-5p
474,hsa-miR-20a-3p
475,hsa-miR-21-3p
476,hsa-miR-22-5p
477,hsa-miR-23a-5p
478,hsa-miR-24-2-5p
479,hsa-miR-25-5p
480,hsa-miR-26a-1-3p
481,hsa-miR-26b-3p
482,hsa-miR-27a-5p
483,hsa-miR-28-3p
484,hsa-miR-29a-5p
485,hsa-miR-31-3p
486,hsa-miR-32-3p
487,hsa-miR-33a-3p
488,hsa-miR-92a-1-5p
489,hsa-miR-92a-2-5p
490,hsa-miR-93-3p
491,hsa-miR-96-3p
492,hsa-miR-99a-3p
493,hsa-miR-100-3p
494,hsa-miR-101-5p
495,hsa-miR-29b-1-5p
496,hsa-miR-29b-2-5p
497,hsa-miR-105-3p
498,hsa-miR-106a-3p
499,hsa-miR-16-2-3p
500,hsa-miR-192-3p
501,hsa-miR-129-1-3p
502,hsa-miR-148a-5p
503,hsa-miR-30c-2-3p
504,hsa-miR-30d-3p
505,hsa-miR-139-3p
506,hsa-miR-7-1-3p
507,hsa-miR-7-2-3p
508,hsa-miR-10a-3p
509,hsa-miR-10b-3p
510,hsa-miR-34a-3p
511,hsa-miR-181a-2-3p
512,hsa-miR-181c-3p
513,hsa-miR-183-3p
514,hsa-miR-187-5p
515,hsa-miR-196a-3p
516,hsa-miR-199b-3p
517,hsa-miR-214-5p
518,hsa-miR-218-1-3p
519,hsa-miR-218-2-3p
520,hsa-miR-219a-1-3p
521,hsa-miR-221-5p
522,hsa-miR-222-5p
523,hsa-miR-223-5p
524,hsa-miR-200b-5p
525,hsa-let-7g-3p
526,hsa-let-7i-3p
527,hsa-miR-15b-3p
528,hsa-miR-23b-5p
529,hsa-miR-27b-5p
530,hsa-miR-30b-3p
531,hsa-miR-122-3p
532,hsa-miR-124-5p
533,hsa-miR-125b-1-3p
534,hsa-miR-130a-5p
535,hsa-miR-132-5p
536,hsa-miR-135a-3p
537,hsa-miR-138-2-3p
538,hsa-miR-140-3p
539,hsa-miR-141-5p
540,hsa-miR-143-5p
541,hsa-miR-144-5p
542,hsa-miR-145-3p
543,hsa-miR-125a-3p
544,hsa-miR-125b-2-3p
545,hsa-miR-127-5p
546,hsa-miR-129-2-3p
547,hsa-miR-136-3p
548,hsa-miR-138-1-3p
549,hsa-miR-146a-3p
550,hsa-miR-149-3p
551,hsa-miR-150-3p
552,hsa-miR-185-3p
553,hsa-miR-186-3p
554,hsa-miR-188-3p
555,hsa-miR-193a-5p
556,hsa-miR-195-3p
557,hsa-miR-200c-5p
558,hsa-miR-155-3p
559,hsa-miR-194-3p
560,hsa-miR-106b-3p
561,hsa-miR-29c-5p
562,hsa-miR-30c-1-3p
563,hsa-miR-219a-2-3p
564,hsa-miR-34b-3p
565,hsa-miR-34c-3p
566,hsa-miR-99b-3p
567,hsa-miR-296-3p
568,hsa-miR-130b-5p
569,hsa-miR-26a-2-3p
570,hsa-miR-361-3p
571,hsa-miR-362-3p
572,hsa-miR-302d-5p
573,hsa-miR-367-5p
574,hsa-miR-371a-5p
575,hsa-miR-374a-3p
576,hsa-miR-377-5p
577,hsa-miR-379-3p
578,hsa-miR-340-5p
579,hsa-miR-330-5p
580,hsa-miR-342-5p
581,hsa-miR-337-5p
582,hsa-miR-323a-5p
583,hsa-miR-151a-5p
584,hsa-miR-135b-3p
585,hsa-miR-148b-5p
586,hsa-miR-331-5p
587,hsa-miR-338-5p
588,hsa-miR-339-3p
589,hsa-miR-335-3p
590,hsa-miR-423-5p
591,hsa-miR-424-3p
592,hsa-miR-18b-3p
593,hsa-miR-20b-3p
594,hsa-miR-431-3p
595,hsa-miR-483-5p
596,hsa-miR-486-3p
597,hsa-miR-488-3p
598,hsa-miR-490-5p
599,hsa-miR-491-3p
600,hsa-miR-146b-3p
601,hsa-miR-193b-5p
602,hsa-miR-497-3p
603,hsa-miR-516a-5p
604,hsa-miR-499a-3p
605,hsa-miR-500a-5p
606,hsa-miR-501-3p
607,hsa-miR-502-3p
608,hsa-miR-505-5p
609,hsa-miR-513a-3p
610,hsa-miR-508-5p
611,hsa-miR-509-5p
612,hsa-miR-532-3p
613,hsa-miR-455-3p
614,hsa-miR-545-5p
615,hsa-miR-92b-5p
616,hsa-miR-556-3p
617,hsa-miR-551b-5p
618,hsa-miR-574-5p
619,hsa-miR-576-3p
620,hsa-miR-582-3p
621,hsa-miR-548b-5p
622,hsa-miR-589-5p
623,hsa-miR-550a-5p
624,hsa-miR-590-3p
625,hsa-miR-593-3p
626,hsa-miR-548a-5p
627,hsa-miR-615-5p
628,hsa-miR-616-3p
629,hsa-miR-548c-5p
630,hsa-miR-624-3p
631,hsa-miR-625-3p
632,hsa-miR-628-5p
633,hsa-miR-629-5p
634,hsa-miR-33b-3p
635,hsa-miR-548d-5p
636,hsa-miR-411-3p
637,hsa-miR-654-3p
638,hsa-miR-671-3p
639,hsa-miR-298
640,hsa-miR-891a-5p
641,hsa-miR-300
642,hsa-miR-892a
643,hsa-miR-450b-5p
644,hsa-miR-450b-3p
645,hsa-miR-874-3p
646,hsa-miR-890
647,hsa-miR-891b
648,hsa-miR-888-5p
649,hsa-miR-888-3p
650,hsa-miR-892b
651,hsa-miR-541-5p
652,hsa-miR-541-3p
653,hsa-miR-889-3p
654,hsa-miR-875-5p
655,hsa-miR-875-3p
656,hsa-miR-876-5p
657,hsa-miR-876-3p
658,hsa-miR-708-5p
659,hsa-miR-708-3p
660,hsa-miR-147b
661,hsa-miR-190b
662,hsa-miR-744-5p
663,hsa-miR-744-3p
664,hsa-miR-885-5p
665,hsa-miR-885-3p
666,hsa-miR-877-5p
667,hsa-miR-877-3p
668,hsa-miR-887-3p
669,hsa-miR-665
670,hsa-miR-873-5p
671,hsa-miR-543
672,hsa-miR-374b-5p
673,hsa-miR-374b-3p
674,hsa-miR-760
675,hsa-miR-301b-3p
676,hsa-miR-216b-5p
677,hsa-miR-208b-3p
678,hsa-miR-920
679,hsa-miR-921
680,hsa-miR-922
681,hsa-miR-924
682,hsa-miR-509-3-5p
683,hsa-miR-933
684,hsa-miR-934
685,hsa-miR-935
686,hsa-miR-936
687,hsa-miR-937-3p
688,hsa-miR-938
689,hsa-miR-939-5p
690,hsa-miR-940
691,hsa-miR-941
692,hsa-miR-942-5p
693,hsa-miR-943
694,hsa-miR-944
695,hsa-miR-523-5p
696,hsa-miR-518e-5p
697,hsa-miR-522-5p
698,hsa-miR-519a-5p
699,hsa-miR-519b-5p
700,hsa-miR-520c-5p
701,hsa-miR-518d-5p
702,hsa-miR-518a-5p
703,hsa-miR-1224-5p
704,hsa-miR-1224-3p
705,hsa-miR-1225-5p
706,hsa-miR-1225-3p
707,hsa-miR-1226-5p
708,hsa-miR-1226-3p
709,hsa-miR-1227-3p
710,hsa-miR-1228-5p
711,hsa-miR-1228-3p
712,hsa-miR-1229-3p
713,hsa-miR-1231
714,hsa-miR-1233-3p
715,hsa-miR-1234-3p
716,hsa-miR-1236-3p
717,hsa-miR-1237-3p
718,hsa-miR-1238-3p
719,hsa-miR-513b-5p
720,hsa-miR-513c-5p
721,hsa-miR-1264
722,hsa-miR-320b
723,hsa-miR-320c
724,hsa-miR-1296-5p
725,hsa-miR-1323
726,hsa-miR-1271-5p
727,hsa-miR-1301-3p
728,hsa-miR-1185-5p
729,hsa-miR-1283
730,hsa-miR-1298-5p
731,hsa-miR-1178-3p
732,hsa-miR-1179
733,hsa-miR-1180-3p
734,hsa-miR-1181
735,hsa-miR-1182
736,hsa-miR-1183
737,hsa-miR-1184
738,hsa-miR-1200
739,hsa-miR-1202
740,hsa-miR-1203
741,hsa-miR-663b
742,hsa-miR-1204
743,hsa-miR-1205
744,hsa-miR-1206
745,hsa-miR-1207-5p
746,hsa-miR-1207-3p
747,hsa-miR-1208
748,hsa-miR-548e-3p
749,hsa-miR-548j-5p
750,hsa-miR-1285-3p
751,hsa-miR-1286
752,hsa-miR-1287-5p
753,hsa-miR-1289
754,hsa-miR-1291
755,hsa-miR-548k
756,hsa-miR-1293
757,hsa-miR-1294
758,hsa-miR-1295a
759,hsa-miR-1297
760,hsa-miR-1299
761,hsa-miR-548l
762,hsa-miR-1302
763,hsa-miR-1303
764,hsa-miR-1304-5p
765,hsa-miR-1305
766,hsa-miR-1243
767,hsa-miR-548f-3p
768,hsa-miR-1244
769,hsa-miR-1245a
770,hsa-miR-1246
771,hsa-miR-1247-5p
772,hsa-miR-1248
773,hsa-miR-1249-3p
774,hsa-miR-1250-5p
775,hsa-miR-1251-5p
776,hsa-miR-1253
777,hsa-miR-1254
778,hsa-miR-1255a
779,hsa-miR-1256
780,hsa-miR-1257
781,hsa-miR-1258
782,hsa-miR-1260a
783,hsa-miR-548g-3p
784,hsa-miR-1261
785,hsa-miR-1262
786,hsa-miR-1263
787,hsa-miR-548n
788,hsa-miR-548m
789,hsa-miR-1265
790,hsa-miR-548o-3p
791,hsa-miR-1266-5p
792,hsa-miR-1267
793,hsa-miR-1268a
794,hsa-miR-1269a
795,hsa-miR-1270
796,hsa-miR-1272
797,hsa-miR-1273a
798,hsa-miR-548h-5p
799,hsa-miR-1275
800,hsa-miR-1276
801,hsa-miR-302e
802,hsa-miR-302f
803,hsa-miR-1277-3p
804,hsa-miR-548p
805,hsa-miR-548i
806,hsa-miR-1278
807,hsa-miR-1279
808,hsa-miR-1281
809,hsa-miR-1282
810,hsa-miR-1284
811,hsa-miR-1288-3p
812,hsa-miR-1292-5p
813,hsa-miR-1252-5p
814,hsa-miR-1255b-5p
815,hsa-miR-664a-5p
816,hsa-miR-664a-3p
817,hsa-miR-1306-3p
818,hsa-miR-1307-3p
819,hsa-miR-1321
820,hsa-miR-1322
821,hsa-miR-1197
822,hsa-miR-1324
823,hsa-miR-320d
824,hsa-miR-1825
825,hsa-miR-1827
826,hsa-miR-516a-3p
827,hsa-miR-1468-5p
828,hsa-miR-675-3p
829,hsa-miR-1469
830,hsa-miR-1470
831,hsa-miR-1471
832,hsa-miR-1537-3p
833,hsa-miR-1538
834,hsa-miR-1539
835,hsa-miR-103b
836,hsa-miR-1908-5p
837,hsa-miR-1909-5p
838,hsa-miR-1909-3p
839,hsa-miR-1910-5p
840,hsa-miR-1911-5p
841,hsa-miR-1911-3p
842,hsa-miR-1912
843,hsa-miR-1913
844,hsa-miR-1914-5p
845,hsa-miR-1914-3p
846,hsa-miR-1915-5p
847,hsa-miR-1915-3p
848,hsa-miR-103a-2-5p
849,hsa-miR-205-3p
850,hsa-miR-224-3p
851,hsa-miR-365a-5p
852,hsa-miR-196b-3p
853,hsa-miR-449b-3p
854,hsa-miR-2113
855,hsa-miR-1972
856,hsa-miR-1973
857,hsa-miR-1976
858,hsa-miR-2052
859,hsa-miR-2053
860,hsa-miR-2054
861,hsa-miR-2110
862,hsa-let-7a-2-3p
863,hsa-miR-151b
864,hsa-miR-449c-5p
865,hsa-miR-762
866,hsa-miR-670-5p
867,hsa-miR-761
868,hsa-miR-764
869,hsa-miR-759
870,hsa-miR-2114-5p
871,hsa-miR-2114-3p
872,hsa-miR-2115-5p
873,hsa-miR-2115-3p
874,hsa-miR-2116-5p
875,hsa-miR-2116-3p
876,hsa-miR-2117
877,hsa-miR-548q
878,hsa-miR-2276-3p
879,hsa-miR-2277-3p
880,hsa-miR-2278
881,hsa-miR-711
882,hsa-miR-718
883,hsa-miR-2681-5p
884,hsa-miR-2681-3p
885,hsa-miR-2682-5p
886,hsa-miR-2682-3p
887,hsa-miR-449c-3p
888,hsa-miR-2861
889,hsa-miR-2909
890,hsa-miR-3115
891,hsa-miR-3116
892,hsa-miR-3117-3p
893,hsa-miR-3118
894,hsa-miR-3119
895,hsa-miR-3120-3p
896,hsa-miR-3121-3p
897,hsa-miR-3122
898,hsa-miR-3123
899,hsa-miR-3124-5p
900,hsa-miR-548s
901,hsa-miR-3125
902,hsa-miR-3126-5p
903,hsa-miR-3127-5p
904,hsa-miR-3128
905,hsa-miR-3129-5p
906,hsa-miR-3130-3p
907,hsa-miR-3130-5p
908,hsa-miR-3131
909,hsa-miR-3132
910,hsa-miR-3133
911,hsa-miR-378b
912,hsa-miR-3134
913,hsa-miR-3135a
914,hsa-miR-466
915,hsa-miR-3136-5p
916,hsa-miR-544b
917,hsa-miR-3137
918,hsa-miR-3138
919,hsa-miR-3139
920,hsa-miR-3140-3p
921,hsa-miR-548t-5p
922,hsa-miR-3141
923,hsa-miR-3142
924,hsa-miR-3143
925,hsa-miR-548u
926,hsa-miR-3144-5p
927,hsa-miR-3144-3p
928,hsa-miR-3145-3p
929,hsa-miR-1273c
930,hsa-miR-3146
931,hsa-miR-3147
932,hsa-miR-548v
933,hsa-miR-3148
934,hsa-miR-3149
935,hsa-miR-3150a-3p
936,hsa-miR-3151-5p
937,hsa-miR-3152-3p
938,hsa-miR-3153
939,hsa-miR-3074-3p
940,hsa-miR-3154
941,hsa-miR-3155a
942,hsa-miR-3156-5p
943,hsa-miR-3157-5p
944,hsa-miR-3158-3p
945,hsa-miR-3159
946,hsa-miR-3160-3p
947,hsa-miR-3161
948,hsa-miR-3162-5p
949,hsa-miR-3163
950,hsa-miR-3164
951,hsa-miR-3165
952,hsa-miR-3166
953,hsa-miR-1260b
954,hsa-miR-3167
955,hsa-miR-3168
956,hsa-miR-3169
957,hsa-miR-3170
958,hsa-miR-3171
959,hsa-miR-3173-3p
960,hsa-miR-1193
961,hsa-miR-323b-3p
962,hsa-miR-3174
963,hsa-miR-3175
964,hsa-miR-3176
965,hsa-miR-3177-3p
966,hsa-miR-3178
967,hsa-miR-3179
968,hsa-miR-3180-5p
969,hsa-miR-3180-3p
970,hsa-miR-548w
971,hsa-miR-3181
972,hsa-miR-3182
973,hsa-miR-3183
974,hsa-miR-3184-5p
975,hsa-miR-3185
976,hsa-miR-3065-5p
977,hsa-miR-3186-5p
978,hsa-miR-3186-3p
979,hsa-miR-3187-3p
980,hsa-miR-3188
981,hsa-miR-3189-3p
982,hsa-miR-320e
983,hsa-miR-3190-5p
984,hsa-miR-3191-3p
985,hsa-miR-3192-5p
986,hsa-miR-3193
987,hsa-miR-3194-5p
988,hsa-miR-3195
989,hsa-miR-3196
990,hsa-miR-548x-3p
991,hsa-miR-3197
992,hsa-miR-3198
993,hsa-miR-3199
994,hsa-miR-3200-3p
995,hsa-miR-3201
996,hsa-miR-514b-5p
997,hsa-miR-514b-3p
998,hsa-miR-3202
999,hsa-miR-1273d
1000,hsa-miR-3126-3p
1001,hsa-miR-3065-3p
1002,hsa-miR-4295
1003,hsa-miR-4296
1004,hsa-miR-4297
1005,hsa-miR-378c
1006,hsa-miR-4293
1007,hsa-miR-4294
1008,hsa-miR-4301
1009,hsa-miR-4299
1010,hsa-miR-4298
1011,hsa-miR-4300
1012,hsa-miR-4304
1013,hsa-miR-4302
1014,hsa-miR-4303
1015,hsa-miR-4305
1016,hsa-miR-4306
1017,hsa-miR-4309
1018,hsa-miR-4307
1019,hsa-miR-4308
1020,hsa-miR-4310
1021,hsa-miR-4311
